#@@@@@@
#perturbation					DG_free_to_bound  err
FXR_76,FXR_83_BM1,-1.59,0.07
#####
FXR_41_BM1,FXR_12_BM1,8.34,0.04
FXR_12_BM1,FXR_41_BM1,-8.10,0.04
#####
FXR_82_BM2,FXR_83_BM2,-3.76,0.15
FXR_83_BM2,FXR_82_BM2,0.87,0.15
#####
FXR_10_BM1,FXR_10_BM2,0.93,0.10
FXR_10_BM2,FXR_10_BM1,-0.71,0.10
#####
FXR_10_BM2,Int01_BM2,-7.14,0.08
Int01_BM2,FXR_10_BM2,6.08,0.08
#####
Int01_BM2,FXR_79_BM2A,17.21,0.08
FXR_79_BM2A,Int01_BM2,-17.45,0.07
#####
FXR_76,FXR_89,-0.35,0.07
FXR_89,FXR_76,-0.54,0.07
#####
FXR_77_BM2,FXR_76,1.31,0.13
FXR_76,FXR_77_BM2,-2.71,0.13
#####
Int01_BM1,FXR_75_BM1,-0.40,0.02
FXR_75_BM1,Int01_BM1,0.44,0.02
#####
FXR_74_BM2,FXR_85_BM2,1.34,0.04
FXR_85_BM2,FXR_74_BM2,-1.91,0.04
#####
FXR_10_BM1,Int02,7.33,0.05
Int02,FXR_10_BM1,-7.98,0.05
#####
FXR_12_BM1,FXR_76,1.47,0.05
FXR_76,FXR_12_BM1,-1.66,0.05
#####
FXR_76,FXR_77_BM1,-4.39,0.13
FXR_77_BM1,FXR_76,4.29,0.13
#####
FXR_78,FXR_76,1.98,0.07
FXR_76,FXR_78,-2.86,0.07
#####
FXR_82_BM2,FXR_81_BM2,-1.21,0.03
FXR_81_BM2,FXR_82_BM2,1.77,0.03
#####
FXR_88_BM1,FXR_85_BM1,0.18,0.05
FXR_85_BM1,FXR_88_BM1,-0.27,0.05
#####
FXR_12_BM2,FXR_76,0.47,0.05
FXR_76,FXR_12_BM2,-1.61,0.05
#####
FXR_10_BM1,FXR_38_BM1,-7.65,0.04
FXR_38_BM1,FXR_10_BM1,9.00,0.04
#####
FXR_81_BM1,FXR_77_BM1,-0.00,0.03
FXR_77_BM1,FXR_81_BM1,0.57,0.03
#####
FXR_84_BM1,FXR_74_BM1,-1.82,0.06
FXR_74_BM1,FXR_84_BM1,1.43,0.06
#####
FXR_83_BM2,FXR_76,3.02,0.07
FXR_76,FXR_83_BM2,-2.15,0.07
#####
Int01_BM1,FXR_10_BM1,5.27,0.08
FXR_10_BM1,Int01_BM1,-9.14,0.08
#####
FXR_76,FXR_81_BM1,-2.85,0.11
FXR_81_BM1,FXR_76,4.71,0.11
#####
FXR_76,FXR_81_BM2,-0.31,0.11
FXR_81_BM2,FXR_76,1.75,0.11
#####
